0  FEP_STA 2a 3
  15  FES_PLA c 0 57 120 1
  15  FES_MON c 0 0 0 1
  15  FES_WEA c 0 0 0 1
  15  FES_CRI c 0 0 0 1
  15  FES_GAN c 0 0 0 1
  15  FES_ACH c 0 0 0 1
  15  FES_MIS c 0 0 0 1
  15  FES_MSC c 0 0 0 1
   2  FEDS_TB b 2a 320 380 3
1  FEH_LOA 2a 1
   a  FES_NGA b 6 80 150 1
   5  FES_LOA b 9 0 0 1
   5  FES_DEL b a 0 0 1
   2  FEDS_TB b 0 490 380 1
2  FEH_BRI 2a 4
   2  FEDS_TB b 2a 57 410 1
3  FEH_AUD 21 1
  1c  FEA_MUS c 3 57 100 1
  1d  FEA_SFX c 3 0 0 1
  1e  FEA_BAS c 3 0 0 1
  1f  FEA_ART c 3 0 0 1
   5  FEA_TIT b 1a 320 225 3
  20  FEA_RSS c 3 57 260 1
   5  FET_DEF b 18 320 367 3
   2  FEDS_TB b 2a 0 0 3
4  FEH_DIS 21 2
  1b  FED_BRI c 4 57 127 1
  21  MAP_LEG c 4 0 0 1
  22  FED_RDR c 4 0 0 1
  23  FED_HUD c 4 0 0 1
  19  FED_SUB c 4 0 0 1
  41  FED_GLS c 4 0 0 1
   5  FED_ADV b 1b 320 320 3
   5  FET_DEF b 17 320 365 3
   2  FEDS_TB b 21 0 0 3
5  FEH_MAP 2a 2
   2  FEDS_TB b 2a 57 410 1
6  FES_NGA 1 0
   1  FESZ_QR 0 0 0 0 0
   4   FEM_NO b 1 320 215 3
   e  FEM_YES b 6 320 240 3
7  FES_NGA 1 0
   1  FEN_NGS 0 0 0 0 1
   5  FEN_NGX b 6 320 150 3
   b  FEN_MPX 9 0 0 0 3
   b  FEN_MPX 9 0 0 0 3
   b  FEN_MPX 9 0 0 0 3
   b  FEN_MPX 9 0 0 0 3
   b  FEN_MPX 9 0 0 0 3
   b  FEN_MPX 9 0 0 0 3
   b  FEN_MPX 9 0 0 0 3
